hp_id,symbol,security_id,fill_date,fill_close,prev_date,prev_close,prev_source,next_date,next_close,next_source,vs_ref_pct,neighbors_consistent,ca_adj_confirmed,ca_note,post_fill_cas
462197,KAJARIACER,976,2016-10-04,699.35,,,,2025-01-15,1046.15,upload,-33.15,True,True,LIKELY adjusted (implied factor≈1.5) but no matching SPLIT/BONUS in corporate_actions,
462198,KAJARIACER,976,2016-10-13,710.15,,,,2025-01-15,1046.15,upload,-32.12,True,True,LIKELY adjusted (implied factor≈1.47) but no matching SPLIT/BONUS in corporate_actions,
462199,KAJARIACER,976,2016-10-17,729.05,,,,2025-01-15,1046.15,upload,-30.31,True,True,LIKELY adjusted (implied factor≈1.43) but no matching SPLIT/BONUS in corporate_actions,
462200,KAJARIACER,976,2016-11-18,478.3,,,,2025-01-15,1046.15,upload,-54.28,True,True,LIKELY adjusted (implied factor≈2.19) but no matching SPLIT/BONUS in corporate_actions,
462201,KAJARIACER,976,2016-12-02,526.75,,,,2025-01-15,1046.15,upload,-49.65,True,True,LIKELY adjusted (implied factor≈1.99) but no matching SPLIT/BONUS in corporate_actions,
462202,KAJARIACER,976,2017-03-10,555.55,,,,2025-01-15,1046.15,upload,-46.9,True,True,LIKELY adjusted (implied factor≈1.88) but no matching SPLIT/BONUS in corporate_actions,
462203,KAJARIACER,976,2017-04-10,625.15,,,,2025-01-15,1046.15,upload,-40.24,True,True,LIKELY adjusted (implied factor≈1.67) but no matching SPLIT/BONUS in corporate_actions,
462204,KAJARIACER,976,2017-08-16,622.1,,,,2025-01-15,1046.15,upload,-40.53,True,False,no post-fill dilutive CA on file,
462205,KAJARIACER,976,2017-08-28,698.55,,,,2025-01-15,1046.15,upload,-33.23,True,True,LIKELY adjusted (implied factor≈1.5) but no matching SPLIT/BONUS in corporate_actions,
462206,KAJARIACER,976,2017-11-09,720.75,,,,2025-01-15,1046.15,upload,-31.1,True,True,LIKELY adjusted (implied factor≈1.45) but no matching SPLIT/BONUS in corporate_actions,
462207,KAJARIACER,976,2018-07-03,465.95,,,,2025-01-15,1046.15,upload,-55.46,True,True,LIKELY adjusted (implied factor≈2.25) but no matching SPLIT/BONUS in corporate_actions,
462208,KAJARIACER,976,2018-08-08,445.35,,,,2025-01-15,1046.15,upload,-57.43,True,True,LIKELY adjusted (implied factor≈2.35) but no matching SPLIT/BONUS in corporate_actions,
462209,KAJARIACER,976,2018-09-13,430.05,,,,2025-01-15,1046.15,upload,-58.89,True,True,LIKELY adjusted (implied factor≈2.43) but no matching SPLIT/BONUS in corporate_actions,
462210,KAJARIACER,976,2018-09-18,428.8,,,,2025-01-15,1046.15,upload,-59.01,True,True,LIKELY adjusted (implied factor≈2.44) but no matching SPLIT/BONUS in corporate_actions,
462211,KAJARIACER,976,2018-09-26,398.15,,,,2025-01-15,1046.15,upload,-61.94,True,True,LIKELY adjusted (implied factor≈2.63) but no matching SPLIT/BONUS in corporate_actions,
462213,KEI,1003,2023-01-05,1519.05,,,,2025-10-28,4069.8,cron,-62.68,True,True,LIKELY adjusted (implied factor≈2.68) but no matching SPLIT/BONUS in corporate_actions,
462215,KESORAMIND,1006,2025-06-09,6.48,,,,2025-10-28,5.15,cron,25.83,True,False,no post-fill dilutive CA on file,
462217,KOTAKBANK,1032,2019-05-01,281.27,2019-04-30,1386.55,upload,2019-05-02,1406.35,upload,-79.86,True,True,CONFIRMED adjusted: fill≈ref×0.2 from SPLIT 5:1@2026-01-14,SPLIT 5:1@2026-01-14
462218,KOTAKBANK,1032,2019-08-15,299.79,2019-08-14,1491.8,upload,2019-08-16,1498.95,upload,-79.95,True,True,CONFIRMED adjusted: fill≈ref×0.2 from SPLIT 5:1@2026-01-14,SPLIT 5:1@2026-01-14
462219,KOTAKBANK,1032,2025-11-05,416.64,2025-11-04,2096.6,upload,2025-11-06,2083.2,upload,-80.06,True,True,CONFIRMED adjusted: fill≈ref×0.2 from SPLIT 5:1@2026-01-14,SPLIT 5:1@2026-01-14
462220,KTKBANK,1058,2021-07-01,61.65,,,,2025-10-28,183.68,cron,-66.44,True,False,no post-fill dilutive CA on file,
462221,LALPATHLAB,1063,2019-05-01,536.55,2019-04-30,1044.3,upload,2019-05-02,1073.1,upload,-49.32,True,True,CONFIRMED adjusted: fill≈ref×0.5 from BONUS 1@2025-12-19,BONUS 1@2025-12-19
462222,LALPATHLAB,1063,2024-04-11,1179.2,2024-04-10,2304.3,upload,2024-04-12,2358.4,upload,-49.42,True,True,CONFIRMED adjusted: fill≈ref×0.5 from BONUS 1@2025-12-19,BONUS 1@2025-12-19
462223,LALPATHLAB,1063,2025-11-05,1554.0,2025-11-04,3153.7,upload,2025-11-06,3108.0,upload,-50.36,True,True,CONFIRMED adjusted: fill≈ref×0.5 from BONUS 1@2025-12-19,BONUS 1@2025-12-19
462226,LT,1100,2016-11-14,913.53,2016-11-11,1388.8,upload,2016-11-15,1370.3,upload,-33.78,True,True,CONFIRMED adjusted: fill≈ref×0.6667 from BONUS 0.5@2017-07-13,BONUS 0.5@2017-07-13
462235,LUPIN,1107,2016-10-17,1446.05,,,,2025-10-28,1932.2,cron,-25.16,True,True,LIKELY adjusted (implied factor≈1.34) but no matching SPLIT/BONUS in corporate_actions,
